LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL
1_2_LE07_024030_20170322,9086,2017-03-22,-99,200,150,197,82,23,25,2741,-99,l7,66,0,2017,495
1_2_LE07_024030_20170407,9086,2017-04-07,-99,199,165,221,110,69,48,2759,-99,l7,66,0,2017,513
1_2_LE07_024030_20170423,9086,2017-04-23,-99,230,164,250,126,60,43,2819,-99,l7,66,0,2017,503
1_2_LE07_024030_20170610,9086,2017-06-10,-99,459,471,573,423,312,263,2913,-99,l7,66,0,2017,554
1_2_LE07_024030_20170728,9086,2017-07-28,-99,331,319,489,266,159,135,2945,-99,l7,66,0,2017,547
1_2_LE07_024030_20170914,9086,2017-09-14,-99,331,237,424,206,58,16,2913,-99,l7,66,0,2017,516
1_2_LE07_024030_20170930,9086,2017-09-30,-99,225,143,268,136,24,27,2908,-99,l7,66,0,2017,506
1_2_LE07_024030_20171016,9086,2017-10-16,-99,209,155,232,109,28,31,2870,-99,l7,66,0,2017,506
1_2_LE07_024030_20171219,9086,2017-12-19,-99,469,392,467,371,249,210,2722,-99,l7,65,0,2017,497
1_2_LE07_024030_20180613,9086,2018-06-13,-99,531,519,609,501,402,349,2913,-99,l7,66,0,2018,550
1_2_LE07_024030_20180629,9086,2018-06-29,-99,398,423,616,381,200,177,2955,-99,l7,66,0,2018,552
1_2_LE07_024030_20180715,9086,2018-07-15,-99,418,334.5,629,156,29,31,2960,-99,l7,66,0,2018,534
1_2_LE07_024030_20180917,9086,2018-09-17,-99,304,237,448,209,46,25,2955,-99,l7,66,0,2018,531
1_2_LE07_024030_20181206,9086,2018-12-06,-99,388,257,352,145,44,49,2741,-99,l7,66,0,2018,489
1_2_LE07_024030_20190515,9086,2019-05-15,-99,300,209,311,185,100,86,2847,-99,l7,66,0,2019,498
1_2_LE07_024030_20190531,9086,2019-05-31,-99,528,436,558,527,276,194,2875,-99,l7,66,0,2019,506
1_2_LE07_024030_20190702,9086,2019-07-02,-99,350,320,508,447.5,112,85,2934,-99,l7,66,0,2019,543
1_2_LE07_024030_20190819,9086,2019-08-19,-99,308,315,615,234,30,16,2934,-99,l7,66,0,2019,548
1_2_LE07_024030_20191107,9086,2019-11-07,-99,608,401,549,276,34,38,2790,-99,l7,66,0,2019,489
1_2_LE07_024030_20191225,9086,2019-12-25,-99,357,255,315,172,50,56,2741,-99,l7,66,0,2019,485
1_1_LT05_024030_19840420,9086,1984-04-20,-99,549.5505048763363,443.7222076532333,549.6676164599485,329.33147474191384,93.65026670320538,48.80501642896887,3944.536728453844,-99,l5,66,0,1984,497
1_1_LT05_024030_19840506,9086,1984-05-06,-99,334.61504570491684,341.8279502712447,421.7946336876957,331.2626222617901,143.57213706638913,83.59914284850238,4043.681053987825,-99,l5,66,0,1984,554
1_1_LT05_024030_19840826,9086,1984-08-26,-99,371.94567903180376,275.20346632929875,474.65185198908586,281.1393529692718,76.36048508047234,53.4692598560445,4214.504206581241,-99,l5,66,0,1984,518
1_1_LT05_024030_19840911,9086,1984-09-11,-99,372.9567368281105,286.02558723228674,379.9983104110482,249.42374678712298,67.31816531119956,23.82149588486024,4214.504206581241,-99,l5,66,0,1984,498
1_1_LT05_024030_19841029,9086,1984-10-29,-99,357.80259540175797,232.5206202926527,384.96986572393104,167.11169289508706,62.811893002939954,35.80775380759985,4073.6178901409185,-99,l5,66,0,1984,500
1_1_LT05_024030_19850813,9086,1985-08-13,-99,590.8571549308944,557.9976926614921,882.7693600306668,587.528995356403,228.37709771819289,124.84536933231662,4206.401155658663,-99,l5,66,0,1985,545
1_1_LT05_024030_19851016,9086,1985-10-16,-99,315.5046703159996,282.9326112076187,416.81468345851954,142.32360751751077,40.42940722540972,32.111199698336065,4083.6166856271184,-99,l5,66,0,1985,539
1_1_LT05_024030_19851117,9086,1985-11-17,-99,496.1189782782633,408.2800870961513,600.8241355760832,213.95005798135787,76.36048508047234,42.29485004404491,3986.0564580579367,-99,l5,66,0,1985,523
1_1_LT05_024030_19860410,9086,1986-04-10,-99,284.41112964696606,249.98773177435925,337.2897647397951,201.5079710381017,89.99840261626541,59.08188900730678,3944.536728453844,-99,l5,66,0,1986,531
1_1_LT05_024030_19860613,9086,1986-06-13,-99,257.417097606329,200.73109204115224,287.73416879979914,225.44504972408666,120.31624680808777,82.65028630495902,4206.401155658663,-99,l5,66,0,1986,509
1_1_LT05_024030_19860901,9086,1986-09-01,-99,314.49997780102757,217.12854802999692,380.992530717773,205.33510687292141,26.23483299583262,15.569928439278135,4224.641952780292,-99,l5,66,0,1986,510
1_1_LT05_024030_19861019,9086,1986-10-19,-99,347.7137934011517,204.82844754565488,341.25911323099297,150.8990045203976,59.21402119299312,33.03463199661695,4093.6254061642358,-99,l5,66,0,1986,494
1_1_LT05_024030_19861104,9086,1986-11-04,-99,243.45224185365458,149.62712594972376,248.17137231444005,123.28648066026952,29.773948504345757,38.58511299279317,4053.650074321272,-99,l5,66,0,1986,496
1_1_LT05_024030_19870429,9086,1987-04-29,-99,332.6015288256854,290.150726885924,335.30536276175155,275.3674853763062,149.1904719177959,121.93947646274079,4033.721958705297,-99,l5,66,0,1987,502
1_1_LT05_024030_19870515,9086,1987-05-15,-99,213.60125421262623,137.3933057247631,258.0552647468934,169.97475323154245,30.659719886565824,18.316213546928424,4149.857656113057,-99,l5,66,0,1987,508
1_1_LT05_024030_19870803,9086,1987-08-03,-99,388.13600436499456,280.8710456271544,501.62812230260676,217.7806564651483,70.0266927205959,48.80501642896887,4359.3903783797705,-99,l5,66,0,1987,517
1_1_LT05_024030_19870819,9086,1987-08-19,-99,250.43193377573388,177.19728276467856,320.42813361197875,220.65430451672555,83.62292504253399,92.16003861144462,4269.365945661015,-99,l5,66,0,1987,515
1_1_LT05_024030_19870904,9086,1987-09-04,-99,313.49539695765793,192.540398017564,313.4889207757132,213.95005798135787,55.62250141563372,17.400314358354947,4214.504206581241,-99,l5,66,0,1987,495
1_1_LT05_024030_19871022,9086,1987-10-22,-99,509.4485511765825,405.15748580403255,523.6332457045781,307.1424227167794,91.82354065566196,33.03463199661695,4028.7461329581265,-99,l5,66,0,1987,500
1_1_LT05_024030_19880330,9086,1988-03-30,-99,285.41247201386716,233.54742794106596,327.3695699666139,174.74785224703382,69.12345324876041,44.152543485811044,3903.1920767479423,-99,l5,66,0,1988,516
1_1_LT05_024030_19880415,9086,1988-04-15,-99,353.7657345422871,255.1297203000633,376.02188296340836,182.38827332079063,84.5325165469569,90.2543215952938,3964.286193153297,-99,l5,66,0,1988,501
1_1_LT05_024030_19880501,9086,1988-05-01,-99,266.40606288674985,122.1179771007905,248.17137231444005,128.99482196250403,55.62250141563372,52.53546953191595,4053.650074321272,-99,l5,66,0,1988,492
1_1_LT05_024030_19880517,9086,1988-05-17,-99,245.44588118766544,130.2624757920826,251.13606357595398,167.11169289508706,58.3155457455982,52.53546953191595,4101.639528630591,-99,l5,66,0,1988,496
1_1_LT05_024030_19880704,9086,1988-07-04,-99,310.48232445716314,190.49356138362882,349.19998835383257,195.7692649679705,64.61321092013365,46.01212020500404,4279.557287135021,-99,l5,66,0,1988,502
1_1_LT05_024030_19880821,9086,1988-08-21,-99,888.2055988170929,687.0816002366339,960.1837916151627,895.506158529549,154.82309884252433,64.7114676554107,4232.759295776192,-99,l5,66,0,1988,505
1_1_LT05_024030_19880906,9086,1988-09-06,-99,208.63586087099495,101.78016278749303,255.08962054893536,125.18899473673457,15.655598665817772,22.902771780146495,4206.401155658663,-99,l5,66,0,1988,504
1_1_LT05_024030_19881125,9086,1988-11-25,-99,558.8289229500823,380.20379011864765,554.6777430098546,286.91361778075566,124.02051516387398,42.29485004404491,3944.536728453844,-99,l5,66,0,1988,495
1_1_LT05_024030_19881211,9086,1988-12-11,-99,432.8068055463886,244.8478354285599,426.7757183650195,179.52261599760723,63.71235346051844,51.602150027144106,3852.2460285945913,-99,l5,66,0,1988,494
1_1_LT05_024030_19890112,9086,1989-01-12,-99,950.2505897713044,793.8170097332966,875.6522657248347,569.8430223164511,139.8345205395189,127.75549957610286,3654.9723920578845,-99,l5,66,0,1989,484
1_1_LT05_024030_19890402,9086,1989-04-02,-99,703.2775895242862,599.1267727658586,685.3392246072726,410.66900448162403,172.75403875455072,138.46223022711933,3809.347451078679,-99,l5,66,0,1989,494
1_1_LT05_024030_19890605,9086,1989-06-05,-99,203.67325931942273,92.6390675256118,205.7223430014651,176.65755797905334,49.35262638366825,47.873580201623874,4196.281274551265,-99,l5,66,0,1989,495
1_1_LT05_024030_19890621,9086,1989-06-21,-99,540.2811322023817,429.11667709873313,613.8829098228646,413.5826061751705,190.8282964018309,142.3697114081903,4232.759295776192,-99,l5,66,0,1989,512
1_1_LT05_024030_19890707,9086,1989-07-07,-99,322.5406447256699,196.6350755317886,462.6730169510727,204.37822303011154,44.886054279080064,47.873580201623874,4287.717506350887,-99,l5,66,0,1989,517
1_1_LT05_024030_19890723,9086,1989-07-23,-99,578.44639908533,404.11678608105206,720.648344567642,350.5887471292757,49.35262638366825,39.511841026571034,4242.914907066894,-99,l5,66,0,1989,513
1_1_LT05_024030_19890925,9086,1989-09-25,-99,285.41247201386716,206.87762742108333,377.5129581726622,188.1213858810461,71.83436267037703,25.660356552357882,4149.857656113057,-99,l5,66,0,1989,519
1_1_LT05_024030_19891011,9086,1989-10-11,-99,372.9567368281105,273.658202242209,456.6860498400653,236.9496303408881,87.26367307244594,31.188238219411904,4101.639528630591,-99,l5,66,0,1989,514
1_1_LT05_024030_19900421,9086,1990-04-21,-99,456.24349458810167,392.6746124832145,522.6325363544482,236.9496303408881,76.36048508047234,51.602150027144106,4033.721958705297,-99,l5,66,0,1990,523
1_1_LT05_024030_19900507,9086,1990-05-07,-99,347.2096464390776,291.1822210173238,470.65818092960023,240.78662140739357,126.80288495209916,86.44853739527271,4063.629019705636,-99,l5,66,0,1990,533
1_1_LT05_024030_19900912,9086,1990-09-12,-99,658.8826337403476,436.4173920396766,701.4736391444176,339.9560822766962,62.811893002939954,46.01212020500404,4242.914907066894,-99,l5,66,0,1990,500
